dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,num_variates
bizitobs_l2c/5T/medium,STRIDE (+Timer-S1),54.439195365646256,54.439195365646256,4.84332051179847,0.4986955241030308,0.4167123247607579,0.6337737205567737,4.161786408759966,7.378292171339263,0.38820667069773784,0.25482988303322546,0.2035009891356407,7
bizitobs_l2c/H/medium,STRIDE (+Timer-S1),66.97847377232142,66.97847377232142,4.669821602957589,0.4751860335923499,0.4787715507207241,0.754226321265811,3.9104138204542984,8.184037742601229,0.4955559161539897,0.28276479111077574,0.22984177807379075,7
electricity/15T/long,STRIDE (+Timer-S1),372516.38185911695,372516.38185911695,62.687629976656346,0.9113868839472405,0.13513671360341137,0.14009184687080953,9.079543765714247,610.3412011810418,0.9628880952023339,0.09889742410338571,0.08123042582578281,1
electricity/H/long,STRIDE (+Timer-S1),10615276.821957959,10615276.821957959,301.2139354354354,1.2448079283419435,0.3107304895196088,0.14510385669710466,15.218191678840038,3258.1093937984892,1.2849973850558072,0.11879868739632703,0.10040534507711867,1
solar/10T/long,STRIDE (+Timer-S1),18.655885610711934,18.655885610711934,1.937781602004052,0.8478320702766349,2.9221557044989437,1.458698733333799,4.708428811397242,4.319245953949825,0.9335359275779108,0.41882049889194084,0.32295540576612436,1
solar/H/long,STRIDE (+Timer-S1),347.83729977696674,347.83729977696674,7.745011413029704,0.5910009822511917,4.3254172311267185,1.358791004267492,4.5759730614281,18.650396772641777,0.6466433378280306,0.2685336989175654,0.2156545425376124,1
kdd_cup_2018/H/long,STRIDE (+Timer-S1),3059.4228187378794,3059.4228187378794,17.148977569999005,0.7510025586964914,0.773832150970399,0.4370160986082956,7.293066122967438,55.3120494895812,1.297844202327154,0.4023843144567256,0.3300407496028766,1
loop_seattle/5T/long,STRIDE (+Timer-S1),84.36164260477582,84.36164260477582,5.1366708143418185,0.8125183051632743,0.16363683811883672,0.11722870625400882,9.280970738486696,9.184859422156434,0.16239020307416047,0.09081739614368964,0.07539248825705402,1
loop_seattle/H/long,STRIDE (+Timer-S1),56.810917973789024,56.810917973789024,4.005122264734773,0.8396086641057783,0.1135692929089746,0.09400693997100001,10.816193938262868,7.537301770115684,0.1347016522947177,0.0715768856225396,0.060458740830530155,1
sz_taxi/15T/long,STRIDE (+Timer-S1),15.503752670940171,15.503752670940171,2.6749413645165596,0.50520548133394,5334062821047.279,0.3971514666521991,6.509157214670261,3.937480497848868,0.36444614343855347,0.24758778227724962,0.20950777734177384,1
m_dense/H/long,STRIDE (+Timer-S1),33866.78024691358,33866.78024691358,79.00756558641976,0.6828482606678624,0.2652988013971988,0.1952369972511574,8.93950912538007,184.02929181767118,0.3185819256345096,0.13677378277994037,0.11430696893183767,1
ett1/15T/long,STRIDE (+Timer-S1),7.802243303571428,7.802243303571428,1.5138653273809524,0.967178526216742,0.6981557318485457,0.3789231460813492,9.33999305715381,2.7932495956450847,0.5323961347349021,0.28854422822199344,0.23227796534719886,7
ett1/H/long,STRIDE (+Timer-S1),195.01792328042328,195.01792328042328,8.126002914186508,1.4638935572305363,1455931274261.4702,0.4690060570126488,17.232991539751698,13.964881785408112,0.6687479428691192,0.38913667985997086,0.3221385136101904,7
ett2/15T/long,STRIDE (+Timer-S1),11.263328373015874,11.263328373015874,2.099123108878968,0.8705108685378943,0.13528116474095106,0.16578202504960318,8.97486807163597,3.3560882546524122,0.17885200623110384,0.11186606276775597,0.09270965404539847,7
ett2/H/long,STRIDE (+Timer-S1),234.2285052910053,234.2285052910053,9.693656994047618,1.0947065916956884,0.18456197487657053,0.1874906994047619,10.835123438788663,15.304525647369973,0.2095836995078604,0.13274717174405692,0.1111612004236204,7
jena_weather/10T/long,STRIDE (+Timer-S1),1378.3526455026456,1378.3526455026456,10.003793609457672,0.6548591328686529,0.7221685216734848,0.6637551176543567,8.444171314153701,37.12617197480297,0.22718141239301026,0.061214928461442185,0.05165819901965669,21
jena_weather/H/long,STRIDE (+Timer-S1),1488.2630952380953,1488.2630952380953,12.24430183531746,0.9537761606254825,2.400499376762691,0.6855242693865741,12.096319095528004,38.57801310640681,0.2322824035966052,0.0737242701645909,0.061270166553073456,21
bitbrains_fast_storage/5T/long,STRIDE (+Timer-S1),3652377.035719398,3652377.035719398,284.8874378921284,0.906787073863939,1.575973662450667,0.8422108701032114,20.06321111701074,1911.119314883139,5.050517647875021,0.7528724248282086,0.6319775337888719,2
bitbrains_rnd/5T/long,STRIDE (+Timer-S1),2415699.761965274,2415699.761965274,165.42147584293994,3.375728427978981,1.0904948872685583,0.7282166839256903,119.10025222013968,1554.2521552068936,5.9539898787017895,0.6336924092974283,0.5984741052608837,2
bizitobs_application/10S/long,STRIDE (+Timer-S1),3694332.302222222,3694332.302222222,1168.3197222222223,2.7186513650415485,0.03968460506863064,0.04013717227511936,52.280740551991975,1922.0645936654216,0.07412634866592824,0.0450574217787189,0.04158362239488709,2
bizitobs_service/10S/long,STRIDE (+Timer-S1),132061.6634920635,132061.6634920635,69.6458201058201,1.1679385991249798,0.12056954520089286,0.09218084749090609,19.95078597044366,363.40289417128133,0.26922048170059654,0.05159585005529586,0.0489523116314451,2
bizitobs_l2c/5T/long,STRIDE (+Timer-S1),53.626135912698416,53.626135912698416,4.887663070436508,0.5015156049854609,0.47520338131510087,0.72828867081976,4.637281347175535,7.322986816367924,0.411174761854102,0.27443497433559344,0.21965923698567336,7
m4_yearly/A/short,STRIDE (+Timer-S1),4972508.852209744,4972508.852209744,1086.4421679239756,3.9531823698981214,0.22340625460351746,0.17486888388694086,31.00583130664437,2229.912296977113,0.3575767713584352,0.1742160367475212,0.13769362698952783,1
m4_quarterly/Q/short,STRIDE (+Timer-S1),1906998.806356771,1906998.806356771,618.4528444010417,1.4080246590609073,0.11865532764295737,0.11096164647738138,9.845440315349645,1380.9412754917462,0.23114525170495473,0.10351811545050628,0.08154595858527632,1
m4_monthly/M/short,STRIDE (+Timer-S1),1905989.3170613425,1905989.3170613425,571.1091124403212,1.007541823996553,0.15606469230740158,0.13326925385439836,8.121600961142361,1380.5757194233652,0.2869310284634335,0.11869607924568189,0.09479671024898702,1
m4_weekly/W/short,STRIDE (+Timer-S1),349259.6803085494,349259.6803085494,317.8733461002785,3.1389035165730137,0.07087394178156324,0.07084799333943885,19.663376809293332,590.9819627607508,0.10766774603575827,0.05791159266449014,0.045282844266856845,1
m4_daily/D/short,STRIDE (+Timer-S1),360152.23075298255,360152.23075298255,197.3235669657379,3.6678049151974945,0.039993541339559825,0.0320068757919748,27.32061069048918,600.126845552657,0.09270301197974903,0.030481037680402473,0.02393707937895773,1
m4_hourly/H/short,STRIDE (+Timer-S1),2546882.571185511,2546882.571185511,275.39273647486493,0.8075630429708978,0.09777509417510839,0.08477165100079227,6.165826346224003,1595.8955389327684,0.21787499575180985,0.03759719218819635,0.028618701867959957,1
